Instância,Sol. Méd.,T_med(s),$\Delta_{Med} (\%)$,Sol. Mel.,T_mel(s),$\Delta_{Me} (\%)$
bayg29_10,1791.8,1.0816871,4.675,1714.8,1.7171875,0.073
bayg29_25,1850.7,0.6279372000000001,3.285,1792.6,0.7828125,0.0
bayg29_50,"2140.5","0.47240590000000005","2.4989999999999997","2091.0","0.665625","0.0"
burma14_10,"3390.2","0.028999600000000004","0.10500000000000001","3386.7","0.03125","0.0"
burma14_25,"3599.8","0.027936899999999997","0.09","3596.8","0.0296875","0.0"
burma14_50,"3864.6","0.024093399999999997","0.06599999999999999","3862.3","0.025","0.0"
fri26_10,"991.8","0.31306219999999996","2.8600000000000003","967.4","0.3375","0.363"
fri26_25,"1133.0","0.34765589999999996","2.567","1105.2","0.3953125","0.047"
fri26_50,"1195.7","0.5423120000000001","1.4789999999999999","1178.7","0.6390625","0.0"
gr17_10,"2162.1","0.053202700000000006","0.557","2150.3","0.05625","0.0"
gr17_25,"2258.5","0.0575778","0.9559999999999998","2237.7","0.065625","0.014000000000000002"
gr17_50,"2726.0","0.0484058","0.593","2710.3","0.05","0.0"
gr21_10,"2924.1","0.14942139999999998","3.2640000000000002","2833.6","0.175","0.0"
gr21_25,"3041.9","0.16667150000000003","2.7649999999999997","2962.6","0.1609375","0.0"
gr21_50,"3798.4","0.14326529999999998","1.672","3738.1","0.184375","0.0"
ulysses16_10,"6878.6","0.0501246","0.15200000000000002","6868.2","0.0609375","0.0"
ulysses16_25,"7192.1","0.046640100000000004","0.36","7165.4","0.05","0.0"
ulysses16_50,"7597.3","0.044483999999999996","0.09000000000000001","7590.3","0.0515625","0.0"
ulysses22_10,"7154.9","0.1603903","0.9530000000000001","7087.6","0.175","0.0"
ulysses22_25,"7639.4","0.18710900000000003","1.7580000000000002","7508.7","0.2015625","0.0"
ulysses22_50,"8519.0","0.19114029999999999","1.1430000000000002","8427.0","0.215625","0.018"
gr48_10,"5756.9","5.048437099999999","8.983","5405.0","11.575","2.308"
gr48_25,"6222.6","5.3837809","7.31","5926.0","9.5375","2.2009999999999996"
gr48_50,"7103.3","5.8489371000000006","7.119","6737.6","7.9015625","1.562"
